media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
PALMESANA.COM,07005,7.816,252,261,226
PASIONPORELMAR.COM,07005,3.258,105,113,83
PERIODICODEIBIZA.ES,07800,2.687.779,86.703,93.154,68.154
REVISTA07500.COM,07500,34.306,1.107,904,1.690
SAVEU.CAT,07100,23.414,755,826,553
UEPMALLORCA.APP,07011,5.767,186,190,175
ULTIMAHORA.ES,07011,9.292.600,299.761,306.282,281.015
ELNACIONAL.CAT - CATALÀ,08029,12.741.172,411.006,418.700,388.885
RAC1.CAT,08036,13.808.203,445.426,479.533,347.368
ARA.CAT - CATALÀ,08015,6.241.477,201.338,204.203,193.100
GRUP ELMON.CAT,08221,2.629.107,84.675,84.406,85.451
BALEARSVADEVI.CAT,08221,6.558,212,199,249
CASTELLONOTICIES.COM,08221,34.250,1.105,1.199,834
DIARILAVEU.CAT,08221,238.231,7.685,8.267,6.011
ELMON.CAT,08221,1.743.816,56.252,55.308,58.966
ELMON.CAT - ISABADELL.CAT,08221,119.722,3.862,4.003,3.456
ELMON.CAT - ELCINEFIL.CAT,08221,11.261,363,356,384
ELMON.CAT - VADEVI,08221,47.153,1.521,1.196,2.455
ELMON.CAT - TOTBARCELONA.CAT,08007,548.603,17.697,16.422,21.363
ELMON.CAT - VADEGUST,08221,66.598,2.148,2.384,1.470
LAVEUDELSLLIBRES.CAT,08221,10.468,338,277,512
MONESPORT.CAT,08221,255.539,8.243,7.816,9.470
MONPLANETA.CAT,08221,30.875,996,1.007,966
MONTERRASSA.CAT,08221,333.186,10.748,11.295,9.176
NOSALTRESLAVEU.CAT,08221,2.840,92,95,81
TORNAVEU.CAT,08221,5.620,181,204,117
E-NOTICIES - E-NOTICIES.CAT,08025,4.671.211,150.684,156.987,132.564
BETEVE.CAT,08018,2.014.010,64.968,66.935,59.314
EL PUNT AVUI.CAT,17005,1.643.047,53.002,54.415,48.936
EL PUNT AVUI.CAT - LECONOMIC,17005,10.781,348,377,265
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,17005,193.317,6.236,6.383,5.814
DIARIDEGIRONA.CAT,17002,2.674.824,86.285,89.207,77.884
XCATALUNYA.CAT - CATALA,17001,2.871.937,92.643,92.187,93.954
REGIÓ7.CAT,08243,2.208.715,71.249,72.617,67.316
SEGRE.COM - CATALÀ,25007,1.171.532,37.791,38.760,35.007
TIMEOUT.CAT,08002,513.649,16.569,15.218,20.455
CATALUNYADIARI.COM,08006,1.214.130,39.165,37.025,45.319
GRUP RACOCATALA (P),08010,479.514,15.180,15.794,13.413
AUDIO.CAT,08010,3.111,100,111,70
RACOCATALA.CAT,08010,316.720,10.217,10.700,8.829
RACOCATALA.CAT - VERSOS.CAT,08010,17.216,555,597,436
RACOCATALA.CAT - NATIONALIA.CAT,08010,1.869,60,68,39
RACOCATALA.CAT - BLOG.CAT,08010,9.099,294,319,221
SOCIAL.CAT,08010,29.905,965,1.130,490
VIASONA.CAT,08010,122.841,3.963,3.963,3.961
EMPORDA.INFO,17600,571.408,18.433,18.794,17.395
SOM,08020,315.030,10.154,10.294,9.754
CUINA.CAT,08020,147.590,4.761,4.600,5.225
DESCOBRIR.CAT,08020,71.473,2.306,2.425,1.963
MOLLETAMA.CAT,08020,3.474,112,124,79
PETITSAPIENS.CAT,08020,12.967,418,477,248
SAPIENS.CAT,08020,32.700,1.055,1.150,781
SOMGRANOLLERS.CAT,08020,22.734,733,832,451
SOMLALLAGOSTA.CAT,08020,1.734,56,63,36
SOMLESFRANQUESES.CAT,08020,3.362,108,120,75
SOMMARTORELLES.CAT,08020,2.288,74,81,54
SOMMOLLET.CAT,08020,28.503,919,910,945
SOMMONTMELO.CAT,08020,2.994,97,116,40
SOMMONTORNES.CAT,08020,4.492,145,130,189
SOMPARETS.CAT,08020,3.070,99,112,63
SOMSANTFOST.CAT,08020,4.002,129,153,61
SOMVALLES.CAT,08020,5.761,186,192,167
LACIUTAT.CAT - CATALÀ,43004,415.464,13.402,14.030,11.595
DIARIDETERRASSA.COM,08221,517.920,16.707,17.551,14.281
ARA.CAT - ARABALEARS.CAT,08015,402.111,12.971,13.508,11.429
DIARIDESABADELL.COM,08201,536.521,17.307,18.396,14.176
ELPERIODICO.CAT,08908,323.230,10.427,10.838,9.245
DIARIMES.COM - CATALÀ,43005,341.712,11.023,12.392,7.088
CATORZE.CAT,08024,226.982,7.322,7.883,5.709
TARRAGONADIGITAL.COM,08202,252.295,8.139,8.580,6.869
EL9NOU.CAT,08500,357.720,11.539,12.105,9.912
DIARIANDORRA.AD,,580.140,18.714,19.619,16.114
LAREPUBLICA.CAT (P),08014,211.656,6.830,7.168,5.859
ELMONCASTELLER.CAT,08014,49.026,1.581,1.667,1.335
FESTADIRECTE.CAT,08014,176,6,7,3
LAREPUBLICA.CAT,08014,99.037,3.195,3.293,2.913
LASREPUBLICAS.COM,08014,1.594,51,53,47
MESECONOMIA.CAT,08014,588,19,20,16
SOCPETIT.CAT,08014,34.158,1.102,1.185,862
TERRITORIRURAL.CAT,08014,386,12,14,9
EBREDIGITAL.CAT,43500,225.072,7.260,7.566,6.381
EBREDIGITAL.CAT - IMAGINARADIO.CAT,43500,15.167,489,576,240
EBREDIGITAL.CAT - SETMANARILEBRE.CAT,43500,51.050,1.647,1.917,871
ELMONDELATELE.CAT,08202,197.860,6.383,6.699,5.474
SURTDECASA.CAT,43520,176.657,5.699,4.894,8.011
LÍNIA COMUNICACIÓ21,08013,156.531,5.113,5.799,3.140
COMUNICACIO21.CAT,08013,14.929,498,605,202
CULTURA21.CAT,08013,3.380,109,124,67
CULTURAB.CAT,08025,2.069,69,77,44
ESPAI.MEDIA.CAT,08013,2.567,83,101,31
EXTERIOR.CAT,08013,14.718,475,547,266
LINIAXARXA.CAT,08013,114.175,3.683,4.128,2.405
ORGULL.BARCELONA,08025,4.822,156,175,101
ARA.CAT - NUVOL.COM,08001,200.749,6.476,6.931,5.167
CATALUNYARELIGIO.CAT - CATALÀ,08025,129.166,4.167,4.975,1.844
TOTSANTCUGAT.CAT,08172,194.972,6.289,6.767,4.918
REUSDIGITAL.CAT,43201,158.300,5.106,5.615,3.644
VIAEMPRESA.CAT - CATALA,08172,146.345,4.721,5.300,3.055
DBALEARS.CAT,07001,179.336,5.785,5.776,5.812
CAPGROS.COM - CATALA,08302,214.350,6.915,7.486,5.273
RADIOSABADELL.FM,08202,124.108,4.003,4.198,3.444
AGUAITA.CAT,08202,138.365,4.463,5.177,2.413
EIXDIARI.CAT,08800,142.319,4.591,4.895,3.716
DIRECTA.CAT,08028,91.939,2.966,3.057,2.703
FESTACATALUNYA.CAT,08711,86.448,2.789,2.309,4.168
ELTRIANGLE.EU - CATALA,08029,86.601,2.794,3.013,2.161
ARA.CAT - ARA.AD,08015,112.697,3.635,3.879,2.934
ELCRITIC.CAT,08010,80.029,2.582,2.881,1.722
ADOLESCENTS.CAT,08500,88.591,2.858,2.978,2.512
PALLARSDIGITAL.CAT,25620,115.826,3.736,4.066,2.789
AQUIBERGUEDA.CAT,08600,89.448,2.885,3.243,1.859
ENDERROCK.CAT,08008,64.554,2.082,2.154,1.876
ENDERROCK.CAT - EDR,08008,1.490,48,43,63
FIRESCATALANES.CAT,08750,56.903,1.836,1.399,3.090
VEUANOIA.CAT,08700,82.475,2.660,2.905,1.956
CATALUNYAPRESS.CAT- CATALÀ,08007,70.262,2.267,2.592,1.332
ELTEMPS.CAT,46001,66.795,2.155,2.194,2.043
CUGAT.CAT,08172,73.455,2.370,2.570,1.792
LAMANYANA.CAT,25004,86.427,2.788,2.691,3.068
TOTRUBI.CAT,08172,64.926,2.094,2.340,1.389
REVISTACAMBRILS.CAT,43850,77.868,2.512,2.669,2.059
LAPREMSADELBAIX.ES,08940,36.655,1.182,1.307,826
ELPERIÒDIC.AD,,50.784,1.638,1.732,1.369
DIARIEDUCACIO.CAT,08029,36.752,1.186,1.308,833
DIARIEDUCACIO.CAT - DIARIFP.CAT,08029,1.272,41,46,26
TOTCERDANYOLA.CAT,08172,36.573,1.180,1.226,1.048
ELCARGOL.COM,08720,39.085,1.261,1.437,754
JUNIOR-REPORT.CAT,08010,32.960,1.063,1.312,348
VIUREALSPIRINEUS.CAT,25700,25.729,830,854,761
VIUMOLINSDEREI.COM,08750,30.175,973,1.079,670
TARRAGONA21.CAT,43007,21.860,705,656,847
COMARQUESDEPONENT.COM,25300,20.256,653,710,492
LABUSTIA.CAT,08640,24.542,792,851,621
LAFURAPENEDES.CAT,08720,22.939,740,809,542
LLEIDADIARI.CAT,25001,36.002,1.161,1.215,1.006
RADIOCAPITAL.CAT,17256,24.364,786,876,528
ANOIADIARI.CAT,08700,26.284,848,912,662
MARFANTA.COM,43500,27.278,880,977,602
CANAL21EBRE.COM,03500,20.886,674,714,558
THENEWBARCELONAPOST.CAT - CATALA,08008,16.418,530,530,528
CATALUNYAMAGRADA.CAT - CATALA,08172,12.679,409,413,399
INFOANOIA.CAT,08788,20.318,655,723,461
TERRITORIS.CAT,25230,10.357,334,373,221
LAMIRA.CAT,08010,12.351,398,410,365
INFONORD.ES,12600,12.278,396,458,219
NOVATARREGA.CAT,25300,11.870,383,410,304
GASTRONOMICAMENT.CAT - CATALA,07005,8.720,281,266,326
PANXING.NET,08339,8.655,279,278,283
BALAGUER.TV,25600,8.522,275,310,173
ELCUGATENC.CAT,08171,10.837,350,397,213
SAVEU.CAT,07100,23.414,755,826,553
CATALUNYAPLURAL.CAT - CATALA,08029,8.974,289,320,201
VALENCIADIARI.COM,46007,9.600,310,376,120
MOLLERUSSA.TV,25230,6.722,217,216,219
INFOCAMP.CAT,43001,8.310,268,269,266
RÀDIO CIUTAT DE TARRAGONA,43005,7.739,250,286,144
PIRINEUSTV.CAT,25700,7.341,237,253,191
UEPMALLORCA.APP,07011,5.767,186,190,175
ELSOLLER.CAT,07011,9.853,318,331,280
JORNAL.CAT,08176,6.801,219,260,103
PIRINEUSDIGITAL.CAT,25700,8.741,282,311,198
TDBACTUALITAT.CAT,43830,6.762,218,237,165
ALDIA.CAT,08015,5.397,174,193,121
EXPRESDESANTANDREU.CAT,08389,5.875,190,207,141
VALORS.ORG,08301,4.936,159,181,96
AMICFICCIONS.CAT,08007,6.158,199,239,82
COMARQUESNORD.CAT,44586,7.431,240,272,147
TARREGA.TV,25300,3.043,98,115,48
MESEBRE.CAT,43007,3.431,111,127,64
LAGUIADEREUS.COM,43203,3.370,109,113,96
PLAURGELLTV.CAT,25007,5.426,175,208,80
RUBITV.CAT,08202,3.878,125,136,93
LESVEGUERIES.CAT,08720,2.550,82,102,27
MANRESADIARI.CAT,08243,3.507,113,116,106
ELCAFEDEPIPA.COM,12600,3.133,101,104,93
FIRESIFESTES.ES - CATALÀ,07350,2.399,77,53,148
BELLATERRADIARI.CAT,08193,3.257,105,118,67
AMIC,08007,2.968,99,109,71
MESOSONA.CAT,08500,3.025,98,110,62
ONABAGES.CAT,08650,2.634,85,95,57
GARRIGUESTV.CAT,25007,4.135,133,153,77
INDICADORDEECONOMIA.COM,43203,2.324,75,86,42
DIARISANITAT.CAT,08029,2.024,65,72,46
FOSBURY.CAT,08750,1.507,49,54,34
LACONCA51.CAT,43400,1.340,43,49,28
SEGARRATV.CAT,25007,1.888,61,67,43
NOTICIESTGN.CAT,43003,981,32,38,15
SEGRIATV.CAT,25007,1.317,42,46,33
RADIOVALIRA.AD,25700,1.406,45,50,33
NOGUERATV.CAT,25007,1.016,33,36,22
EBREEXPERIENCE.COM,43007,775,25,26,22
BAIX CAMP RADIO,43005,684,22,24,17
DIARITREBALL.CAT,08029,643,21,25,9
URGELLTV.CAT,25007,756,24,27,16
21RADIO.CAT,03500,324,10,11,8
AUE.CAT,25007,285,9,10,8
FEMBASE.CAT,25001,228,8,9,4
AMICIB.MEDIA,08007,190,6,7,3
