media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg
SEGRE.COM - CATALÀ,25007,2.413.241,77.846,79.891,71.969
TIMEOUT.CAT,08002,647.461,20.886,19.235,25.633
CATALUNYADIARI.COM,08006,1.536.460,49.563,46.192,59.255
GRUP RACOCATALA (P),08010,910.682,28.504,29.399,25.932
AUDIO.CAT,08010,5.333,172,190,120
RACOCATALA.CAT,08010,622.030,20.065,20.756,18.081
RACOCATALA.CAT - VERSOS.CAT,08010,39.693,1.280,1.373,1.014
RACOCATALA.CAT - NATIONALIA.CAT,08010,3.056,99,114,55
RACOCATALA.CAT - BLOG.CAT,08010,11.109,358,386,280
SOCIAL.CAT,08010,46.058,1.486,1.755,712
VIASONA.CAT,08010,213.374,6.883,6.830,7.034
EMPORDA.INFO,17600,841.061,27.131,27.863,25.028
SOM,08020,437.450,13.973,14.352,12.883
CUINA.CAT,08020,197.483,6.370,6.224,6.793
DESCOBRIR.CAT,08020,106.159,3.424,3.632,2.827
MOLLETAMA.CAT,08020,5.217,168,186,119
PETITSAPIENS.CAT,08020,39.490,1.274,1.443,789
SAPIENS.CAT,08020,60.508,1.952,2.068,1.619
SOMGRANOLLERS.CAT,08020,33.584,1.083,1.244,623
SOMLALLAGOSTA.CAT,08020,2.267,73,82,47
SOMLESFRANQUESES.CAT,08020,4.907,158,180,96
SOMMARTORELLES.CAT,08020,3.107,100,110,72
SOMMOLLET.CAT,08020,42.446,1.369,1.412,1.246
SOMMONTMELO.CAT,08020,3.863,125,150,52
SOMMONTORNES.CAT,08020,5.738,185,171,226
SOMPARETS.CAT,08020,4.408,142,162,85
SOMSANTFOST.CAT,08020,5.472,177,207,88
SOMVALLES.CAT,08020,7.387,238,251,203
LACIUTAT.CAT - CATALÀ,43004,488.649,15.763,16.752,12.919
DIARIDETERRASSA.COM,08221,934.577,30.148,31.821,25.336
ARA.CAT - ARABALEARS.CAT,08015,532.586,17.180,17.899,15.114
DIARIDESABADELL.COM,08201,907.895,29.287,31.174,23.861
ELPERIODICO.CAT,08908,613.161,19.779,20.804,16.835
DIARIMES.COM - CATALÀ,43005,538.839,17.382,19.621,10.944
CATORZE.CAT,08024,324.810,10.478,11.276,8.183
TARRAGONADIGITAL.COM,08202,356.678,11.506,12.069,9.886
EL9NOU.CAT,08500,662.620,21.375,22.728,17.484
DIARIANDORRA.AD,,1.324.126,42.714,45.016,36.096
LAREPUBLICA.CAT (P),08014,348.799,11.252,11.817,9.626
ELMONCASTELLER.CAT,08014,87.487,2.822,2.938,2.488
FESTADIRECTE.CAT,08014,290,9,11,4
LAREPUBLICA.CAT,08014,154.224,4.975,5.135,4.514
LASREPUBLICAS.COM,08014,2.567,83,86,74
MESECONOMIA.CAT,08014,804,26,29,18
SOCPETIT.CAT,08014,63.686,2.054,2.247,1.502
TERRITORIRURAL.CAT,08014,798,26,31,11
EBREDIGITAL.CAT,43500,306.770,9.896,10.582,7.924
EBREDIGITAL.CAT - IMAGINARADIO.CAT,43500,19.852,640,762,290
EBREDIGITAL.CAT - SETMANARILEBRE.CAT,43500,73.527,2.372,2.757,1.264
ELMONDELATELE.CAT,08202,297.916,9.610,10.219,7.859
SURTDECASA.CAT,43520,370.049,11.937,10.206,16.915
LÍNIA COMUNICACIÓ21,08013,203.332,6.559,7.525,3.781
COMUNICACIO21.CAT,08013,21.903,730,898,268
CULTURA21.CAT,08013,4.502,145,171,72
CULTURAB.CAT,08025,3.120,104,119,55
ESPAI.MEDIA.CAT,08013,3.773,122,150,41
EXTERIOR.CAT,08013,19.171,618,720,325
LINIAXARXA.CAT,08013,142.527,4.598,5.199,2.868
ORGULL.BARCELONA,08025,7.021,226,263,121
ARA.CAT - NUVOL.COM,08001,278.993,9.000,9.689,7.020
CATALUNYARELIGIO.CAT - CATALÀ,08025,149.342,4.817,5.735,2.181
TOTSANTCUGAT.CAT,08172,305.229,9.846,10.480,8.024
REUSDIGITAL.CAT,43201,204.774,6.606,7.307,4.590
VIAEMPRESA.CAT - CATALA,08172,201.740,6.508,7.398,3.947
DBALEARS.CAT,07001,259.786,8.380,8.425,8.252
CAPGROS.COM - CATALA,08302,339.833,10.962,12.105,7.678
RADIOSABADELL.FM,08202,157.695,5.087,5.306,4.458
AGUAITA.CAT,08202,190.469,6.144,7.156,3.234
EIXDIARI.CAT,08800,258.246,8.331,8.933,6.598
DIRECTA.CAT,08028,125.047,4.034,4.233,3.462
FESTACATALUNYA.CAT,08711,267.118,8.617,7.383,12.163
ELTRIANGLE.EU - CATALA,08029,139.360,4.495,4.874,3.406
ARA.CAT - ARA.AD,08015,150.431,4.853,5.175,3.926
ELCRITIC.CAT,08010,146.647,4.731,5.263,3.201
ADOLESCENTS.CAT,08500,186.217,6.007,6.206,5.436
PALLARSDIGITAL.CAT,25620,179.125,5.778,6.384,4.038
AQUIBERGUEDA.CAT,08600,111.229,3.588,3.992,2.425
ENDERROCK.CAT,08008,107.580,3.470,3.622,3.034
ENDERROCK.CAT - EDR,08008,4.512,146,148,137
FIRESCATALANES.CAT,08750,85.596,2.761,2.191,4.402
VEUANOIA.CAT,08700,117.700,3.797,4.123,2.859
CATALUNYAPRESS.CAT- CATALÀ,08007,79.593,2.568,2.958,1.445
ELTEMPS.CAT,46001,103.678,3.344,3.468,2.990
CUGAT.CAT,08172,128.925,4.159,4.606,2.874
LAMANYANA.CAT,25004,142.762,4.605,4.540,4.792
TOTRUBI.CAT,08172,92.737,2.992,3.302,2.100
REVISTACAMBRILS.CAT,43850,142.432,4.595,4.965,3.531
LAPREMSADELBAIX.ES,08940,47.055,1.518,1.695,1.010
ELPERIÒDIC.AD,,87.203,2.813,3.062,2.096
DIARIEDUCACIO.CAT,08029,52.412,1.691,1.764,1.479
DIARIEDUCACIO.CAT - DIARIFP.CAT,08029,1.692,55,63,31
TOTCERDANYOLA.CAT,08172,49.852,1.608,1.655,1.473
ELCARGOL.COM,08720,56.882,1.835,2.109,1.047
JUNIOR-REPORT.CAT,08010,68.973,2.225,2.785,614
VIUREALSPIRINEUS.CAT,25700,41.570,1.341,1.283,1.509
VIUMOLINSDEREI.COM,08750,46.907,1.513,1.666,1.073
