media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
VALENCIANEWS.ES,46004,23.927,1.004,1.159,560,"1,29",0:01:34,0:00:23
VALENCIANOTICIAS.COM,46130,3.949,137,149,101,"1,29",0:01:36,0:00:40
VALENCIAPLAZA.COM,46002,1.270.894,73.342,76.711,63.655,"1,97",0:04:27,0:01:58
VILA-REALINFORMACIO.COM,12004,1.256,57,65,33,"1,69",0:02:24,0:00:55
VIUVALENCIA.COM,46017,5.661,191,194,183,"1,14",0:00:59,0:00:38
XTRADIO.ES,46800,1.077,45,51,28,"1,62",0:01:57,0:01:31
APUNTMENORCA.COM,07701,10.303,404,405,401,"1,55",0:02:38,0:01:19
ARA.CAT - ARABALEARS.CAT,08015,197.683,11.467,11.922,10.161,"1,32",0:01:42,0:01:40
ARTSMALLORCA.COM,07184,18.525,681,515,1.160,"2,46",0:02:31,0:01:08
BALEARES-SINFRONTERAS.COM,07002,4.774,164,178,125,"1,59",0:02:23,0:01:04
BALEARSVADEVI.CAT,08221,5.036,192,180,226,"1,71",0:01:46,0:01:08
CANAL4DIARIO.COM,07121,6.127,232,227,249,"1,30",0:01:47,0:00:41
CRONICABALEAR.ES,07004,689.806,46.660,46.620,46.777,"1,50",0:01:59,0:01:46
DBALEARS.CAT,07001,95.038,5.040,5.004,5.143,"1,45",0:02:25,0:02:08
DIARIODEIBIZA.ES,07800,1.036.670,57.596,57.590,57.612,"1,85",0:03:47,0:02:37
DIARIODEMALLORCA.ES,07006,2.022.714,128.311,128.316,128.294,"1,78",0:03:44,0:03:06
DIARIODEMARRATXI.COM,07009,9.537,349,332,398,"2,83",0:02:06,0:01:01
DIGITALMANACOR.COM,07500,13.124,594,559,694,"1,85",0:01:32,0:01:03
ECONOMIADEMALLORCA.COM,30100,15.682,605,696,345,"2,00",0:03:23,0:00:55
ELDIARIO.ES - ILLES BALEARS,28028,453.982,16.461,13.662,24.509,"1,06",0:01:33,0:01:07
ELIRIS.CAT,07760,5.353,211,215,201,"1,49",0:02:43,0:01:53
ELSOLLER.CAT,07011,4.490,267,277,238,"1,51",0:03:56,0:01:52
EUROPAPRESS.ES - ILLES BALEARS,28046,74.675,2.819,2.933,2.491,"1,75",0:04:30,0:00:50
FIBWIDIARIO.COM,07009,6.762,253,272,200,"1,42",0:01:59,0:00:31
FIRESIFESTES.ES,07350,4.403,156,102,313,"1,73",0:01:37,0:00:43
FORAVILA.NET,07100,12.052,480,498,426,"1,68",0:02:19,0:01:30
FUTBOLDESDEMALLORCA.COM,07006,30.380,3.637,3.625,3.672,"1,57",0:03:09,0:04:45
GACETANAUTICA.ES,07009,2.463,137,155,82,"1,92",0:04:08,0:03:10
GASTRONOMICAMENT.CAT,07005,6.574,231,219,264,"1,18",0:02:02,0:00:57
MAJORCADAILYBULLETIN.COM,07011,537.559,28.766,27.068,33.648,"1,52",0:02:14,0:01:08
MALLORCACONFIDENCIAL.COM,07013,4.481,160,172,123,"1,31",0:01:31,0:00:38
MALLORCADIARIO.COM,07141,148.721,7.061,7.346,6.240,"1,24",0:01:13,0:01:26
MALLORCAMAGAZIN.COM,07011,1.459.819,84.580,82.945,89.281,"1,45",0:01:42,0:01:03
MALLORCAZEITUNG.ES,07006,872.215,50.245,50.489,49.546,"1,70",0:02:49,0:01:59
MANACORNOTICIAS.COM,07500,13.477,704,763,534,"1,60",0:01:48,0:01:21
MENORCA.INFO,07714,613.420,44.759,44.840,44.529,"2,25",0:04:25,0:05:07
