codigo postal,lat,lon,poblacion,provincia,comunidad autonoma,prob_c,comarca2,provincia2,comunidad2,code2,prob_2
3850,-0.37904234,38820078850,Beniarrés,Alicante/Alacant,Comunidad Valenciana,beniarres,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46055.0,beniarjo
46844,-0.41655507,38847105440,Beniatjar,Valencia/València,Comunidad Valenciana,beniatjar,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3028.0,beniarres
12530,0.42396296,40418890480,Benicarló,Castellón/Castelló,Comunidad Valenciana,benicarlo,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46056.0,beniatjar
12580,0.42396296,40418890480,Benicarló,Castellón/Castelló,Comunidad Valenciana,benicarlo,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46056.0,beniatjar
12560,0.0647391,40055365970,Benicasim/Benicàssim,Castellón/Castelló,Comunidad Valenciana,benicasim benicassim,El Baix Maestrat,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12027.0,benicarlo
46838,-0.34554941,38918659810,Benicolet,Valencia/València,Comunidad Valenciana,benicolet,La Plana Alta,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12028.0,benicassim benicasim
46689,-0.38349993,39185678810,Benicull de Xúquer,Valencia/València,Comunidad Valenciana,benicull de xuquer,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46057.0,benicolet
3759,-0.03173239,38791917000,Benidoleig,Alicante/Alacant,Comunidad Valenciana,benidoleig,La Ribera Baixa,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46904.0,benicull de xuquer
3501,-0.1306853,38534271360,Benidorm,Alicante/Alacant,Comunidad Valenciana,benidorm,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3030.0,benidoleig
3502,-0.1306853,38534271360,Benidorm,Alicante/Alacant,Comunidad Valenciana,benidorm,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3030.0,benidoleig
3503,-0.1306853,38534271360,Benidorm,Alicante/Alacant,Comunidad Valenciana,benidorm,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3030.0,benidoleig
46450,-0.42733016,39285142980,Benifaió,Valencia/València,Comunidad Valenciana,benifaio,La Marina Baixa,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3031.0,benidorm
46791,-0.30276868,39053790190,Benifairó de la Valldigna,Valencia/València,Comunidad Valenciana,benifairo de la valldigna,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46060.0,benifaio
46511,-0.26780809,39728304180,Benifairó de les Valls,Valencia/València,Comunidad Valenciana,benifairo de les valls,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46059.0,benifairo de la valldigna
43512,0.51788672,40974086910,Benifallet,Tarragona,Cataluña,benifallet,El Camp de Morvedre,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46058.0,benifairo de les valls
3816,-0.39922559,38662734190,Benifallim,Alicante/Alacant,Comunidad Valenciana,benifallim,Baix Ebre,Tarragona,Cataluña/ Catalunya,430252.0,benifallet
3517,-0.22888967,38673694180,Benifato,Alicante/Alacant,Comunidad Valenciana,benifato,L'Alcoià,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3032.0,benifallim
46722,-0.18894082,38928469200,Beniflá,Valencia/València,Comunidad Valenciana,benifla,La Marina Baixa,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3033.0,benifato
46830,-0.4434453,38943550630,Benigànim,Valencia/València,Comunidad Valenciana,beniganim,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46061.0,benifla
3794,-0.10982699,38756335140,Benigembla,Alicante/Alacant,Comunidad Valenciana,benigembla,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46062.0,beniganim
3178,-0.73828051,38080840800,Benijófar,Alicante/Alacant,Comunidad Valenciana,benijofar,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3029.0,benigembla
3810,-0.3908201,38699559090,Benilloba,Alicante/Alacant,Comunidad Valenciana,benilloba,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3034.0,benijofar
3827,-0.3789958,38753803010,Benillup,Alicante/Alacant,Comunidad Valenciana,benillup,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3035.0,benilloba
3516,-0.20984798,38676592540,Benimantell,Alicante/Alacant,Comunidad Valenciana,benimantell,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3036.0,benillup
3827,-0.39099875,38775848010,Benimarfull,Alicante/Alacant,Comunidad Valenciana,benimarfull,La Marina Baixa,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3037.0,benimantell
3812,-0.291855,38749058250,Benimassot,Alicante/Alacant,Comunidad Valenciana,benimassot,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3038.0,benimarfull
3769,-0.04146491,38822966160,Benimeli,Alicante/Alacant,Comunidad Valenciana,benimeli,El Comtat,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3039.0,benimassot
46291,-0.52847323,39213017740,Benimodo,Valencia/València,Comunidad Valenciana,benimodo,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3040.0,benimeli
46611,-0.49254298,39131778580,Benimuslem,Valencia/València,Comunidad Valenciana,benimuslem,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46063.0,benimodo
46469,-0.41096159,39381895940,Beniparrell,Valencia/València,Comunidad Valenciana,beniparrell,La Ribera Alta,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46064.0,benimuslem
46703,-0.19215383,38961330730,Benirredrà,Valencia/València,Comunidad Valenciana,benirredra,L'Horta Sud,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46065.0,beniparrell
3720,0.05043358,38715196900,Benissa,Alicante/Alacant,Comunidad Valenciana,benissa,La Safor,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46066.0,benirredra
43747,0.63627009,41056073960,Benissanet,Tarragona,Cataluña,benissanet,La Marina Alta,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3041.0,benissa
46181,-0.578202,39614111660,Benissanó,Valencia/València,Comunidad Valenciana,benissano,Ribera d'Ebre,Tarragona,Cataluña/ Catalunya,430265.0,benissanet
46869,-0.52989034,38831466610,Benissoda,Valencia/València,Comunidad Valenciana,benissoda,El Camp de Túria,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46067.0,benissano
46839,-0.47709232,38912479200,Benissuera,Valencia/València,Comunidad Valenciana,benissuera,La Vall d'Albaida,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46068.0,benissoda
3726,0.14459559,38732924160,Benitachell/el Poble Nou de Benitatxell,Alicante/Alacant,Comunidad Valenciana,benitachell el poble nou de benitatxell,La Plana Alta,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12094.0,pobla tornesa la
12181,0.02622783,40211772060,Benlloch,Castellón/Castelló,Comunidad Valenciana,benlloch,,,,,
8600,1844024700.0,42103288740,Berga,Barcelona,Cataluña,berga,La Plana Alta,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12029.0,benlloc
17850,2699657030.0,42199490280,Besalú,Girona,Cataluña,besalu,Berguedà,Barcelona,Cataluña/ Catalunya,80229.0,berga
17162,2742739800.0,41965504690,Bescanó,Girona,Cataluña,bescano,Garrotxa,Gerona/Girona,Cataluña/ Catalunya,170195.0,besalu
17163,2742739800.0,41965504690,Bescanó,Girona,Cataluña,bescano,Garrotxa,Gerona/Girona,Cataluña/ Catalunya,170195.0,besalu
17182,2742739800.0,41965504690,Bescanó,Girona,Cataluña,bescano,Garrotxa,Gerona/Girona,Cataluña/ Catalunya,170195.0,besalu
46117,-0.46050256,39590867550,Bétera,Valencia/València,Comunidad Valenciana,betera,Gironès,Gerona/Girona,Cataluña/ Catalunya,170209.0,bescano
12549,-0.19766881,39928609260,Betxí,Castellón/Castelló,Comunidad Valenciana,betxi,El Camp de Túria,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46070.0,betera
17850,2709780690.0,42237136000,Beuda,Girona,Cataluña,beuda,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12021.0,betxi
17851,2709780690.0,42237136000,Beuda,Girona,Cataluña,beuda,La Plana Baixa,Castellón/Castelló,Comunidad Valenciana/ Comunitat valenciana,12021.0,betxi
3410,-0.76597374,38629962290,Biar,Alicante/Alacant,Comunidad Valenciana,biar,Garrotxa,Gerona/Girona,Cataluña/ Catalunya,170216.0,beuda
46825,-0.78756183,39132800270,Bicorp,Valencia/València,Comunidad Valenciana,bicorp,L'Alt Vinalopó / Alto Vinalopó,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3043.0,biar
3380,-0.89528476,38063015580,Bigastro,Alicante/Alacant,Comunidad Valenciana,bigastro,La Canal de Navarrés,Valencia/València,Comunidad Valenciana/ Comunitat valenciana,46071.0,bicorp
8415,2221719530.0,41677740860,Bigues i Riells,Barcelona,Cataluña,bigues i riells,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3044.0,bigastro
8416,2221719530.0,41677740860,Bigues i Riells,Barcelona,Cataluña,bigues i riells,El Baix Segura / La Vega Baja,Alicante/Alacant,Comunidad Valenciana/ Comunitat valenciana,3044.0,bigastro
