media,zipcode,visits_data
COMARCAL.TV,46800.0,"{'browser_uniques': {'1_Month': '6.458', 'daily_avg': '261', 'mon_fri_avg': '298', 'sat_sun_avg': '152', 'pages_per_visit': '1,81', 'avg_visit_duration': '0:02:23', 'avg_interaction_time': '0:00:46'}, 'visits': {'1_Month': '9.164', 'daily_avg': '296', 'mon_fri_avg': '337', 'sat_sun_avg': '175'}, 'pages': {'1_Month': '16.583', 'daily_avg': '535', 'mon_fri_avg': '586', 'sat_sun_avg': '390'}}"
COMARCALCV.COM,46900.0,"{'browser_uniques': {'1_Month': '55.658', 'daily_avg': '2.016', 'mon_fri_avg': '2.426', 'sat_sun_avg': '838', 'pages_per_visit': '2,05', 'avg_visit_duration': '0:01:02', 'avg_interaction_time': '0:01:54'}, 'visits': {'1_Month': '81.317', 'daily_avg': '2.623', 'mon_fri_avg': '3.158', 'sat_sun_avg': '1.084'}, 'pages': {'1_Month': '166.432', 'daily_avg': '5.369', 'mon_fri_avg': '6.349', 'sat_sun_avg': '2.550'}}"
COMARQUESNORD.CAT,44586.0,"{'browser_uniques': {'1_Month': '3.085', 'daily_avg': '197', 'mon_fri_avg': '221', 'sat_sun_avg': '128', 'pages_per_visit': '2,00', 'avg_visit_duration': '0:02:31', 'avg_interaction_time': '0:01:51'}, 'visits': {'1_Month': '7.431', 'daily_avg': '240', 'mon_fri_avg': '272', 'sat_sun_avg': '147'}, 'pages': {'1_Month': '14.880', 'daily_avg': '480', 'mon_fri_avg': '523', 'sat_sun_avg': '356'}}"
COPEALCOY.ES,46013.0,"{'browser_uniques': {'1_Month': '6.742', 'daily_avg': '295', 'mon_fri_avg': '324', 'sat_sun_avg': '214', 'pages_per_visit': '1,48', 'avg_visit_duration': '0:02:21', 'avg_interaction_time': '0:00:47'}, 'visits': {'1_Month': '11.361', 'daily_avg': '366', 'mon_fri_avg': '408', 'sat_sun_avg': '247'}, 'pages': {'1_Month': '16.771', 'daily_avg': '541', 'mon_fri_avg': '609', 'sat_sun_avg': '347'}}"
CRONICA.ES,46900.0,"{'browser_uniques': {'1_Month': '851', 'daily_avg': '33', 'mon_fri_avg': '38', 'sat_sun_avg': '17', 'pages_per_visit': '1,65', 'avg_visit_duration': '0:02:09', 'avg_interaction_time': '0:00:40'}, 'visits': {'1_Month': '1.134', 'daily_avg': '37', 'mon_fri_avg': '43', 'sat_sun_avg': '18'}, 'pages': {'1_Month': '1.870', 'daily_avg': '60', 'mon_fri_avg': '73', 'sat_sun_avg': '23'}}"
DENIA.COM,3700.0,"{'browser_uniques': {'1_Month': '176.415', 'daily_avg': '7.425', 'mon_fri_avg': '7.459', 'sat_sun_avg': '7.326', 'pages_per_visit': '1,76', 'avg_visit_duration': '0:01:33', 'avg_interaction_time': '0:00:43'}, 'visits': {'1_Month': '258.624', 'daily_avg': '8.343', 'mon_fri_avg': '8.415', 'sat_sun_avg': '8.134'}, 'pages': {'1_Month': '455.304', 'daily_avg': '14.687', 'mon_fri_avg': '15.060', 'sat_sun_avg': '13.615'}}"
DIADIA.CAT,12150.0,"{'browser_uniques': {'1_Month': '2.928', 'daily_avg': '144', 'mon_fri_avg': '160', 'sat_sun_avg': '96', 'pages_per_visit': '1,64', 'avg_visit_duration': '0:02:06', 'avg_interaction_time': '0:01:35'}, 'visits': {'1_Month': '5.166', 'daily_avg': '167', 'mon_fri_avg': '187', 'sat_sun_avg': '107'}, 'pages': {'1_Month': '8.471', 'daily_avg': '273', 'mon_fri_avg': '317', 'sat_sun_avg': '149'}}"
DIARIDELMAESTRAT.COM,12500.0,"{'browser_uniques': {'1_Month': '49.102', 'daily_avg': '5.939', 'mon_fri_avg': '6.252', 'sat_sun_avg': '5.040', 'pages_per_visit': '1,84', 'avg_visit_duration': '0:02:04', 'avg_interaction_time': '0:03:59'}, 'visits': {'1_Month': '271.732', 'daily_avg': '8.766', 'mon_fri_avg': '9.296', 'sat_sun_avg': '7.241'}, 'pages': {'1_Month': '499.879', 'daily_avg': '16.125', 'mon_fri_avg': '17.081', 'sat_sun_avg': '13.377'}}"
DIARIDIGITAL.ES,46800.0,"{'browser_uniques': {'1_Month': '19.217', 'daily_avg': '776', 'mon_fri_avg': '828', 'sat_sun_avg': '625', 'pages_per_visit': '1,29', 'avg_visit_duration': '0:00:38', 'avg_interaction_time': '-'}, 'visits': {'1_Month': '25.785', 'daily_avg': '832', 'mon_fri_avg': '889', 'sat_sun_avg': '666'}, 'pages': {'1_Month': '33.219', 'daily_avg': '1.072', 'mon_fri_avg': '1.159', 'sat_sun_avg': '820'}}"
DIARILAVEU.CAT,8221.0,"{'browser_uniques': {'1_Month': '115.118', 'daily_avg': '6.438', 'mon_fri_avg': '6.921', 'sat_sun_avg': '5.051', 'pages_per_visit': '1,54', 'avg_visit_duration': '0:02:54', 'avg_interaction_time': '0:02:57'}, 'visits': {'1_Month': '238.231', 'daily_avg': '7.685', 'mon_fri_avg': '8.267', 'sat_sun_avg': '6.011'}, 'pages': {'1_Month': '365.924', 'daily_avg': '11.804', 'mon_fri_avg': '12.713', 'sat_sun_avg': '9.189'}}"
