media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
més! osona ripollès garrotxa moianès  (abans: més osona),"Osona, Ripollès",,CAT,BCN,CC,papel,Mitjans amb PGD,"Osona:  Balenyà, Calldetenes, Centelles, Folgueroles, Manlleu, Prats de Lluçanès, Roda de Ter, Rupit i Pruit, Sant Hipòlit de Voltregà, Sant Julià de Vilatorta, Sant Pere de Torelló, Sant Vicenç de Torello, Santa Eugènia de Berga, Les Masies de Voltregà (Vinyoles), L'Esquirol, Seva, Taradell, Tona, Torelló, Vic, Sant Miquel de Balenyà i Gurb. Ripollès: Ripoll, properament també a Campdevànol.",AMIC
més vila-seca,Tarragonès,,CAT,BCN,C.TGN,papel,Mitjans amb PGD,Tarragonès: Vila-Seca i barris (La Pineda i La Plana).,AMIC
mollet a mà,Vallès Oriental i Occidental,,CAT,BCN,CC,papel,Mitjans amb PGD,"Vallès Oriental: Mollet del Vallès, Sant Fost de Campsentelles, Martorelles i La Llagosta. Vallès Occidental: Santa Perpètua de Mogoda.",AMIC
"pànxing berguedà, bages i solsonès","Berguedà, Bages, Solsonès",,CAT,BCN,CC,papel,Mitjans amb PGD,"Berguedà: Avià, Bagà, Berga, Borredà, Casserres, Castell de l'Areny, Castellar de N'Hug, Castellar del Riu, Cercs, L'Espunyola, Fígols, Gironella, Gislcareny, Gósol, Guardiola de Berguedà, Montclar, Montmajor, La Nou de Berguedà, Olvan (Cal Rosal), La Pobla de Lillet, Puig-Reig, Sagàs, Saldes, St. Jaume de Frontanyà, St. Julià de Cerdanyola, Sta. Maria de Merlès, Vallcebre, Vilada, Viver i Serrateix. Bages: Manresa, Sant Fruitós del Bages, Navarcles, Artés, Avinyó, Cabrianes, Sallent, Balsareny, Navàs, Santpedor, Súria, Callús, St Joan Vilatorrada, Valls de Torroella, Cardona. Solsonès: Solsona, La Coma i la Pedra, Sant Llorenç de Morunys, Guixers, Olius, Naves, Clariana de Cardener, Castellar de la Ribera. ",AMIC
pànxing maresme,Maresme,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Maresme: Alella, Arenys de Mar, Arenys de Munt, Argentona, Cabrera, Cabrils, Caldes d'Estrac, Calella, Masnou, Mataró, Pineda de Mar, Premià de Mar, Premià de Dalt, St. Andreu de Llavaneres, St. Vicenç de Montalt, Teià, Vilassar de Dalt i Vilassar de Mar.",AMIC
pànxing tot cerdanya,Cerdanya i Alt Urgell,,CAT,GI,,papel,Mitjans amb PGD,"Cerdanya: Alp-Escadarcs (Alp), La Molina (Alp), La Masella (Alp), Bellver de Cerdanya (Bellver, Baltarga), Bolvir (Bolvir, Talltorta (golfos)), Das, Fontanals de Cerdanya (Fontanals, Queixans i Urtx), Ger, Guils, Isòvol (Isòvol, All, Olopte), Lles de Cerdanya, Llívia, Meranges, Montellà-Martinet, Prats i Sansor, Prullans, Puigcerdà (Puigcerdà, Age i Villavent i St. Marc), Riu de Cerdanya (T. Cadí), Urús. Alt Urgell: La Seu d'Urgell. Cerdanya Francesa: Bourg-madame, Saillagouse i Font Romeu.",AMIC
"reclam la cerdanya, l'alt urgell",Cerdanya i Alt Urgell,,CAT,LL,PIRI,papel,Mitjans amb PGD,"La Cerdanya: Puigcerdà, La Molina (Alp), Urus, Das, Alp, Bor, Fontanals de Cerdanya, Escardarcs (Fontanals de Cerdanya), Queixans (Fontanals de Cerdanya), Llívia, Bollvir, Ger, All, Olopte, Pi, Bellver de Cerdanya, Montellà i Martinet, Meranges, Escardacs, Soriguerola, Guils de Cerdanya, Lles, Aransa, Prullans Prats i Sampsor. Alt Urgell: La Seu d'Urgell. Alta Cerdanya (Francesa): Bourg-madame, Osseja, Saillagouse, Llo, Font Romeu, Estavar, Enveitg.",AMIC
reclam magazín,"Osona, Ripollès i La Garrotxa",,CAT,BCN,CC,papel,Mitjans amb PGD,"Valles Oriental: Aiguafreda. Osona: Vic, Centelles, Tona, Els Hostalets de Balenyà (Balanyà), Seva, Balenyà Estació, Taradell, Santa Eugènia de Berga, Calldetenes, Sant Julià de Vilatorta, Folgueroles, Roda de Ter, Les Masies de Roda, Manlleu, Torellço, Sant Pere de Torelló, Sant Vicenç de Torelló, Sant Quirze de Besora, Montesquiu, Vinyoles d'Orís (Les Masies de Voltregà), Les Masies de Voltregà, Sant Hipòlit de Voltregà, La Gleva (Les Masies de Voltragà), Sant Bartomeu del Grau, La Guixa, Santa Eulàlia de Riuprimer. Ripollès: Sant Joan de les Abadeses, Campdevànol. EL 29: Olot, Argelaguer, Begudà, Besalú, Bianya, Castellfollit de la Roca, Hostalets d'en Bas, La Canya, La Pinya, Les Planes d'Hostoles, Les Preses, Montagut, Sant Esteve d'en Bas, Sant Feliu de Pallerols, Sant Jaume de Llierca, Sant Joan les Fonts, Tortellà. Ripoll.",AMIC
revista culturab _ (xarxa línia),Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Barcelona i àrea metropolitana,AMIC
revista de ripollet,Vallès Occidental,,CAT,BCN,AMB,papel,Mitjans amb PGD,Vallès Occidental: Ripollet.,AMIC
revista orgull _ (xarxa línia),Barcelonès,,CAT,BCN,AMB,papel,Mitjans amb PGD,Barcelonès: Barcelona i àrea metropolitana,AMIC
santcugat magazine,Vallès Occidental,,CAT,BCN,AMB,papel,Mitjans amb PGD,Vallès Occidental: Sant Cugat del Vallès.,AMIC
see barcelona,"Barcelonès, Maresme, La Selva i Gironès",,CAT,BCN,AMB,papel,Mitjans amb PGD,"Barcelonès: Barris de l'Eixample, Gràcia, Sants, Ciutat Vella, Sant Gervasi i Sarrià). Maresme: Canet de Mar, Mataró, Calella, Santa Susanna. La Selva: Blanes i Lloret de Mar. Gironès: Aeroport de Girona.",AMIC
somgranollers,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,"Vallès Oriental: Granollers (especialment), Canovelles, Cardedeu, La Roca i Les Franqueses. Menys intensivament: la Garriga i Caldes de Montbui",AMIC
somlallagosta,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,Vallès Oriental: La Llagosta,AMIC
somlesfranqueses,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,Vallès Oriental: Les Franqueses,AMIC
sommartorelles,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,Vallès Oriental: Les Franqueses,AMIC
sommollet,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,"Vallès Oriental: Mollet del Vallès, Palau-Solità i Plegamans, La Llagosta, Martorelles, Sant Fost de Campsentelles, Santa Perpètua de Mogoda, Parets, Granollers, Montornés i Montmeló.",AMIC
sommontornès,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,Vallès Oriental: Montornès del Vallès,AMIC
somparets,Vallès Oriental,,CAT,BCN,V.OR,papel,Mitjans amb PGD,Vallès Oriental: Parets del Vallès,AMIC
torredembarra actualitat,Tarragonès,,CAT,TGN,C.TGN,papel,Mitjans amb PGD,"Tarragonès: Torredembarra, Altafulla, Creixell, Roda de Berà, La Pobla de Montornès, La Nou de Gaià, La Riera de Gaià, Salomó i Tarragona (zona nord)",AMIC
tot cerdanyola,Vallès Occidental,,CAT,BCN,V.OC,papel,Mitjans amb PGD,"Vallès Occidental: Cerdanyola del Vallès, Parc Tecnòlogic, Bellaterra (Cerdanyola del Vallès), Ripollet, Montflorit (Cerdanyola del Vallès).",AMIC
tot sant cugat,Vallès Occidental,,CAT,BCN,V.OC,papel,Mitjans amb PGD,"Vallès Occidental: Sant Cugat del Vallès, Valldoreix (Sant Cugat del Vallès), Mira-sol (Sant Cugat del Vallès), La Floresta (Sant Cugat del Vallès).",AMIC
tribuna maresme,Maresme,,CAT,BCN,AMB,papel,Mitjans amb PGD,"Maresme: Mataró, Alella, Arenys de Munt, Arenys de Mar, Cabrera, Cabrils, Caldes d'Estrac, El Masnou, Sant Andreu de Llavaneres, Premià de Dalt, Premia de Mar, Sant Vicenç de Montalt, Teià, Vilassar de Mar i Vilassar de Dalt.",AMIC
3 viles,Maresme,,CAT,BCN,AMB,papel,NO PGD,"Maresme: Sant Vicenç de Montalt, Sant Andreu de Llavaneres, Caldes d'Estrac.",AMIC
anoiamagazín,Anoia,,CAT,BCN,CC,papel,NO PGD,"Anoia: Igualada, Vilanova del Camí, Sta. Margarida de Montbui, Òdena, La Pobla de Claramunt, Capellades, Vallbona, Piera, El Bruc, Castellolí, Jorba, Els Prats de Rei, Calaf, La Llacuna, La Torre.",AMIC
apunt menorca,Menorca,,IB,ME,,papel,NO PGD,DEMANO,AMIC
bellaterra diari,Vallès Occidental,,CAT,BCN,V.OC,papel,NO PGD,"Bellaterra, Cerdanyola del Vallès, Sant Cugat del Vallès, Sant Quirze i Sabadell",AMIC
bondia,Andorra,,AD,,,papel,NO PGD,Andorra,AMIC
calderí,Vallès Oriental,,CAT,BCN,V.OR,papel,NO PGD,Vallès Oriental: Caldes de Montbui,AMIC
ciutadella de franc,Menorca,,IB,ME,,papel,NO PGD,Menorca: Ciutadella,AMIC
cultura i paisatge a la ruta del císter,"Tarragona, Barcelona i Lleida",,CAT,TGN,C.TGN,papel,NO PGD,"Tarragona, Barcelona i Lleida",AMIC
diari de badalona,Barcelonès i Maresme,,CAT,BCN,AMB,papel,NO PGD,"Barcelonès: Badalona, Santa Coloma de Gramenet, Sant Adrià del Besòs. Maresme: Montgat i Tiana.",AMIC
