media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin,media_iber,active_iber,url_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,la torre,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"web, app",Barcelona,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,nació tarragona,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Tarragona,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,osona nació digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Barcelona,CAT
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC,pallars digital,True,naciodigital.cat,"Passeig de Gràcia, 26, 4t (08007 Barcelona)",8007.0,41.3903717,2.1679521,"app, web",Lleida,CAT
naciodigital.cat,El Ripollès,OJD,CAT,GI,gi,digital,,,AMIC,eco diari,False,naciodigital.cat,"Passeig de Gràcia, 26, 08007 Barcelona",8007.0,41.3903717,2.1679521,web,Barcelona,CAT
