ID,Origin,media,url,zipcode_iber,zipcode_cac,zipcode_ojd,zipcode_amic
126,"AMIC, OJD",eliris,eliris.cat,,,7760.0,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,,,7141.0,07141
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,,,7702.0,07702
129,"AMIC, OJD",menorca,menorca.info,,,7714.0,
130,"AMIC, OJD",palmesana,palmesana.com,,,7005.0,07005
131,"AMIC, OJD",revista07500,revista07500.com,,,7500.0,07500
132,"AMIC, OJD",ultimahora,ultimahora.es,,,7011.0,
133,"AMIC, OJD",firesifestes,firesifestes.es,,,7350.0,07350
134,"AMIC, OJD",alicantextra,alicantextra.com,,,46017.0,
135,"AMIC, OJD",castellonoticies,castellonoticies.com,,,8221.0,
137,"AMIC, OJD",revistapoble,revistapoble.net,,,12540.0,
138,"AMIC, OJD",revistasao,revistasao.cat,,,46018.0,
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,,,46870.0,46870
140,"AMIC, OJD",diariandorra,diariandorra.ad,,,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,28046,,8015.0,
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,,,
143,"Iberfier, OJD",betera.com,betera.com,46117,,46190.0,
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,,46190.0,
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,,46002.0,
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,43201,,8006.0,
147,"Iberfier, OJD",catorze,catorze.cat,08012,,8024.0,
148,"Iberfier, OJD",comarcal cv,comarcalcv.com,46020,,46900.0,
149,"Iberfier, OJD",cugat.cat,cugat.cat,08172,,8172.0,
150,"Iberfier, OJD",cuina,cuina.cat,08014,,8020.0,
151,"Iberfier, OJD",dénia.com,denia.com,03700,,3700.0,
152,"Iberfier, OJD",descobrir,descobrir.cat,17005,,8020.0,
153,"Iberfier, OJD",diari digital,diaridigital.es,46800,,46800.0,
154,"Iberfier, OJD",diario de alicante,diariodealicante.net,03002,,46007.0,
155,"Iberfier, OJD",directa,directa.cat,08014,,8028.0,
156,"Iberfier, OJD",el meridiano l'horta,elmeridiano.es,46023,,46023.0,
157,"Iberfier, OJD",elperiodic.com,elperiodic.com,35215,,12530.0,
158,"Iberfier, OJD",empordà info,emporda.info,17600,,17600.0,17600
159,"Iberfier, OJD",golsmedia,golsmedia.com,46001,,46005.0,
160,"Iberfier, OJD",infotúria,infoturia.com,46183,,46183.0,
161,"Iberfier, OJD",la república,larepublica.cat,08014,,8014.0,
162,"Iberfier, OJD",la veu de lliria,laveudelliria.com,46160,,46190.0,
163,"Iberfier, OJD",lleida diari,lleidadiari.cat,25001,,25001.0,25001
164,"Iberfier, OJD",manresa diari,manresadiari.cat,08240,,8243.0,
165,"Iberfier, OJD",noticias comunitat valenciana,noticiascv.com,,,46010.0,
166,"Iberfier, OJD",nova tàrrega,novatarrega.cat,25300,,25300.0,
167,"Iberfier, OJD",página 66,pagina66.com,03803,,3801.0,
168,"Iberfier, OJD",radio esport valencia,radioesport914.com,46035,,46015.0,
169,"Iberfier, OJD",rubí tv,rubitv.cat,08191,,8202.0,
170,"Iberfier, OJD",sapiens,sapiens.cat,08014,,8020.0,
171,"Iberfier, OJD",social,social.cat,08402,,8010.0,08010
172,"Iberfier, OJD",som granollers,somgranollers.cat,08100,,8020.0,
173,"Iberfier, OJD",som mollet,sommollet.cat,08100,,8020.0,
174,"Iberfier, OJD",som montmeló,sommontmelo.cat,08100,,8020.0,
175,"Iberfier, OJD",som montornès,sommontornes.cat,08100,,8020.0,
176,"Iberfier, OJD",som vallés,somvalles.cat,08100,,8020.0,
177,"Iberfier, OJD",territoris,territoris.cat,25230,,25230.0,
178,"Iberfier, OJD",tva,tv-a.es,03802,,3420.0,
179,"Iberfier, OJD",valència diari,valenciadiari.com,46007,,46007.0,
181,"Iberfier, OJD",valencia noticias,valencianoticias.com,46008,,46130.0,
182,"Iberfier, OJD",valencia plaza,valenciaplaza.com,46002,,46002.0,
183,"Iberfier, OJD",valors,valors.org,08301,,8301.0,
184,"Iberfier, OJD",viu molins de rei,viumolinsderei.com,08750,,8750.0,
185,"Iberfier, OJD",xtradio,xtradio.es,46800,,46800.0,
186,"AMIC, Iberfier, OJD",viaempresa,viaempresa.cat,08172,,,
187,"AMIC, Iberfier, OJD",ara,ara.cat,08015,,,
192,"AMIC, Iberfier, OJD",catalunyapress,catalunyapress.cat,08007,,,
193,"AMIC, Iberfier, OJD",capgros,capgros.com,08172,,,
194,"AMIC, Iberfier, OJD",diarimes,diarimes.com,43003,,,
195,"AMIC, Iberfier, OJD",laciutat,laciutat.cat,43004,,,43001
196,"AMIC, Iberfier, OJD",catalunyamagrada,catalunyamagrada.cat,08172,,,
197,"AMIC, Iberfier, OJD",segre,segre.com,25005,,,
199,"AMIC, Iberfier, OJD",aguaita,aguaita.cat,08007,,8202.0,
200,"AMIC, OJD",elnostreciutat,elnostreciutat.com (elnostreperiodic.com),,,,
201,"AMIC, OJD",noticiasmarinaalta,noticiasmarinaalta.es,,,3700.0,
202,"AMIC, OJD",espai,espai.media,,,,
203,"AMIC, OJD",el9nou,el9nou.cat,,,8500.0,
205,"AMIC, OJD",lasrepublicas,lasrepublicas.com,,,8014.0,
206,"AMIC, OJD",catalunyaplural,catalunyaplural.cat,,,,
207,"AMIC, OJD",larepublica,larepublica.cat,,,8014.0,
209,"AMIC, OJD",xcatalunya,xcatalunya.cat,,,,08036
210,"AMIC, OJD",lleidadiari,lleidadiari.cat,,,25001.0,25001
211,"AMIC, OJD",manresadiari,manresadiari.cat,,,8243.0,
212,"AMIC, OJD",rubitv,rubitv.cat (grup naciodigital),,,,
213,"AMIC, OJD",somgranollers,somgranollers.cat,,,8020.0,
214,"AMIC, OJD",somgranollers,,,,,
215,"AMIC, OJD",sommollet,sommollet.com,,,,
216,"AMIC, OJD",sommollet,,,,,
217,"AMIC, OJD",somvalles,somvalles.cat,,,8020.0,
218,"AMIC, OJD",tarragona21,tarragona21.com,,,,
219,"AMIC, OJD",territorirural,territorirural.cat (monrural.cat),,,,
220,"AMIC, OJD",audio,audio.cat    (tirabol),,,,
221,"AMIC, OJD",diariodemallorca,diariodemallorca.es (P.Iberica),,,,
222,"AMIC, OJD",tucomarca,tucomarca.com,,,46360.0,46360
223,"AMIC, OJD",elsoller,elsoller.cat,,,7011.0,
225,"AMIC, OJD",diarilaveu,diarilaveu.cat (nosaltreslaveu.com),,,,
227,"AMIC, OJD",elperiodic,elperiodic.ad,,,,
228,"Iberfier, OJD",el punt avui,elpuntavui.cat,17005,,,
231,"Iberfier, CAC",emun fm ràdio,emunfmradio.cat,,25126,,
232,"Iberfier, CAC",ràdio vallromanes,radio.vallromanes.cat,08188,08188,,
233,"Iberfier, CAC",solsona fm,solsonafm.media,,25280,,
234,"Iberfier, CAC",alpicat ràdio,alpicatradio.com,25110,25110,,
235,"Iberfier, CAC",altafulla ràdio,altafullaradio.cat,43893,43893,,
236,"Iberfier, CAC",amposta ràdio,amposta.cat,43870,43870,,
237,"Iberfier, CAC",antena aldaia,antenaaldaia.com,46960,43896,,
238,"Iberfier, CAC",antena caro,antenacaro.cat,43520,43520,,
239,"Iberfier, CAC",canal 10 empordà,canal10.cat,17130,17130,,
240,"Iberfier, CAC",canal blau,canalblau.cat,08800,08800,,
241,"Iberfier, CAC",constantí ràdio,constantiradio.cat,43120,43120,,
242,"Iberfier, CAC",cope barcelona,cope.es,08007,08099,,
243,"Iberfier, CAC",digital hits fm,digitalhits.cat,08206,"08809,08206,08026",,
248,"Iberfier, CAC",el prat ràdio,elpratradio.com,08820,08820,,
249,"Iberfier, CAC",flaix fm,flaixfm.cat,08007,"08391,08007",,
258,"Iberfier, CAC",gum fm,gumfm.com,25530,,,
260,"Iberfier, CAC",imagina ràdio,imaginaradio.com,43500,43500,,
261,"Iberfier, CAC",la sénia ràdio,laseniaradio.cat,,43560,,
262,"Iberfier, CAC",la plana ràdio,laplanaradio.cat,13570,43570,,
263,"Iberfier, CAC",la veu de navàs,laveudenavas.navas.cat,,08670,,
264,"Iberfier, CAC",llagostera ràdio,llagosteraradio.cat,17240,17240,,
