ID,Origin,media,url,zipcode,lat,lon,poblacion,provincia,comunidad autonoma,comarca
107,"AMIC, OJD",pallarsdigital,pallarsdigital.cat,25620,0.8956651,42167276630.0,Tremp,Lleida,Cataluña,Pallars Jussà
108,"AMIC, OJD",tdbactualitat,tdbactualitat.cat,43830,1395579220.0,41145081280.0,Torredembarra,Tarragona,Cataluña,Tarragonès
109,"AMIC, OJD",totcerdanyola,totcerdanyola.cat,08172,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
110,"AMIC, OJD",totrubi,totrubi.cat,08172,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
111,"AMIC, OJD",laveudelsllibres,laveudelsllibres.cat,08221,2012151410.0,41562363460.0,Terrassa,Barcelona,Cataluña,Vallès Occidental
113,"AMIC, OJD",7diesactualitat,7diesactualitat.com,12500,0.47487433,40470925950.0,Vinaròs,Castellón/Castelló,Comunidad Valenciana,El Baix Maestrat
114,"AMIC, OJD",monplaneta,monplaneta.cat,08221,2012151410.0,41562363460.0,Terrassa,Barcelona,Cataluña,Vallès Occidental
115,"AMIC, OJD",viasona,viasona.cat,08010,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
116,"AMIC, OJD",uepmallorca,uepmallorca.app,07600,2890301650.0,39490755010.0,Llucmajor,Illes Balears,Illes Balears,
118,"AMIC, OJD",lasbandasdemusica,lasbandasdemusica.com,46011,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
119,"AMIC, OJD",elmondelatele,elmondelatele.cat,08202,2107789940.0,41546958990.0,Sabadell,Barcelona,Cataluña,Vallès Occidental
120,"AMIC, OJD",periodicontinyent,periodicontinyent.com,46870,-0.60649062,38822881290.0,Ontinyent,Valencia/València,Comunidad Valenciana,La Vall d'Albaida
121,"AMIC, OJD",castello24,castello24.com,46005,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
122,"AMIC, OJD",foravila,foravila.net,07100,2714137670.0,39764457300.0,Sóller,Illes Balears,Illes Balears,
123,"AMIC, OJD",balearsvadevi,balearsvadevi.cat,08221,2012151410.0,41562363460.0,Terrassa,Barcelona,Cataluña,Vallès Occidental
125,"AMIC, OJD",digitalmanacor,digitalmanacor.com,07500,3209521360.0,39568890810.0,Manacor,Illes Balears,Illes Balears,El Levante de Mallorca/ es Llevant de Mallorca
126,"AMIC, OJD",eliris,eliris.cat,07760,3837940370.0,40001919410.0,Ciutadella de Menorca,Illes Balears,Illes Balears,
127,"AMIC, OJD",mallorcadiario,mallorcadiario.com,07141,2753079470.0,39641630140.0,Marratxí,Illes Balears,Illes Balears,
128,"AMIC, OJD",menorcaaldia,menorcaaldia.com,07702,4265465550.0,39887522180.0,Maó-Mahón,Illes Balears,Illes Balears,
129,"AMIC, OJD",menorca,menorca.info,07714,4265465550.0,39887522180.0,Maó-Mahón,Illes Balears,Illes Balears,
130,"AMIC, OJD",palmesana,palmesana.com,07005,2651816980.0,39571146990.0,Palma,Illes Balears,Illes Balears,
131,"AMIC, OJD",revista07500,revista07500.com,07500,3209521360.0,39568890810.0,Manacor,Illes Balears,Illes Balears,El Levante de Mallorca/ es Llevant de Mallorca
132,"AMIC, OJD",ultimahora,ultimahora.es,07011,2651816980.0,39571146990.0,Palma,Illes Balears,Illes Balears,
133,"AMIC, OJD",firesifestes,firesifestes.es,07350,2842185490.0,39688989570.0,Binissalem,Illes Balears,Illes Balears,
134,"AMIC, OJD",alicantextra,alicantextra.com,46017,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
135,"AMIC, OJD",castellonoticies,castellonoticies.com,08221,2012151410.0,41562363460.0,Terrassa,Barcelona,Cataluña,Vallès Occidental
137,"AMIC, OJD",revistapoble,revistapoble.net,12540,-0.1007625,39938149570.0,Vila-real,Castellón/Castelló,Comunidad Valenciana,La Plana Baixa
138,"AMIC, OJD",revistasao,revistasao.cat,46018,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
139,"AMIC, OJD",tvdigitalontinyent,tvdigitalontinyent.com,46870,-0.60649062,38822881290.0,Ontinyent,Valencia/València,Comunidad Valenciana,La Vall d'Albaida
140,"AMIC, OJD",diariandorra,diariandorra.ad,,,,,,,
141,"Iberfier, OJD",aldia.cat,aldia.cat,08015,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
142,"Iberfier, OJD",alicante plaza,alicanteplaza.es,46002,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
143,"Iberfier, OJD",betera.com,betera.com,46190,-0.57061222,39546025350.0,Riba-roja de Túria,Valencia/València,Comunidad Valenciana,El Camp de Túria
144,"Iberfier, OJD",camp de túria,camp-de-turia.es,46190,-0.57061222,39546025350.0,Riba-roja de Túria,Valencia/València,Comunidad Valenciana,El Camp de Túria
145,"Iberfier, OJD",castellón plaza,castellonplaza.com,46002,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
146,"Iberfier, OJD",catalunya diari,catalunyadiari.com,08006,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
147,"Iberfier, OJD",catorze,catorze.cat,08024,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
148,"Iberfier, OJD",comarcal cv,comarcalcv.com,46900,-0.46496185,39437084860.0,Torrent,Valencia/València,Comunidad Valenciana,L'Horta Sud
149,"Iberfier, OJD",cugat.cat,cugat.cat,08172,2085264720.0,41473454030.0,Sant Cugat del Vallès,Barcelona,Cataluña,Vallès Occidental
150,"Iberfier, OJD",cuina,cuina.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
151,"Iberfier, OJD",dénia.com,denia.com,03700,0.10661934,38841227050.0,Dénia,Alicante/Alacant,Comunidad Valenciana,La Marina Alta
152,"Iberfier, OJD",descobrir,descobrir.cat,08020,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
153,"Iberfier, OJD",diari digital,diaridigital.es,46800,-0.51869568,38987971160.0,Xàtiva,Valencia/València,Comunidad Valenciana,La Costera
154,"Iberfier, OJD",diario de alicante,diariodealicante.net,46007,-0.37565717,39475344410.0,València,Valencia/València,Comunidad Valenciana,València
155,"Iberfier, OJD",directa,directa.cat,08028,2176349270.0,41384246640.0,Barcelona,Barcelona,Cataluña,Barcelonès
