ID,Origin,media,url,zipcode,comarca,provincia,comunidad autonoma
45,"AMIC, Iberfier, OJD",lamanyana,lamanyana.cat,25191,Segrià,Lleida,Cataluña
46,"AMIC, Iberfier, OJD",lapremsadelbaix,lapremsadelbaix.es,08950,Baix Llobregat,Barcelona,Cataluña
47,"AMIC, Iberfier, OJD",marfanta,marfanta.com,43500,Baix Ebre,Tarragona,Cataluña
48,"AMIC, Iberfier, OJD",mesebre,mesebre.cat,43500,Baix Ebre,Tarragona,Cataluña
49,"AMIC, Iberfier, OJD",mesosona,mesosona.cat,08500,Osona,Barcelona,Cataluña
50,"AMIC, Iberfier, OJD",mollerussa,mollerussa.tv,25230,Pla d'Urgell,Lleida,Cataluña
51,"AMIC, Iberfier, OJD",noticiestgn,noticiestgn.cat,43003,Tarragonès,Tarragona,Cataluña
52,"AMIC, Iberfier, OJD",onabages,onabages.cat,08650,Bages,Barcelona,Cataluña
54,"AMIC, Iberfier, OJD",reusdigital,reusdigital.cat,43201,Baix Camp,Tarragona,Cataluña
55,"AMIC, Iberfier, OJD",revistacambrils,revistacambrils.cat,43850,Baix Camp,Tarragona,Cataluña
56,"AMIC, Iberfier, OJD",somlallagosta,somlallagosta.cat,08100,Vallès Oriental,Barcelona,Cataluña
57,"AMIC, Iberfier, OJD",somlesfranqueses,somlesfranqueses.cat,08100,Vallès Oriental,Barcelona,Cataluña
58,"AMIC, Iberfier, OJD",sommartorelles,sommartorelles.cat,08100,Vallès Oriental,Barcelona,Cataluña
59,"AMIC, Iberfier, OJD",somparets,somparets.cat,08100,Vallès Oriental,Barcelona,Cataluña
60,"AMIC, Iberfier, OJD",somsantfost,somsantfost.cat,08100,Vallès Oriental,Barcelona,Cataluña
61,"AMIC, Iberfier, OJD",tarragonadigital,tarragonadigital.com,43201,Baix Camp,Tarragona,Cataluña
62,"AMIC, Iberfier, OJD",tarrega,tarrega.tv,25300,Urgell,Lleida,Cataluña
63,"AMIC, Iberfier, OJD",totsantcugat,totsantcugat.cat,08172,Vallès Occidental,Barcelona,Cataluña
64,"AMIC, Iberfier, OJD",veuanoia,veuanoia.cat,08700,Anoia,Barcelona,Cataluña
66,"AMIC, Iberfier, OJD",radiocapital,radiocapital.cat,17200,Baix Empordà,Girona,Cataluña
67,"AMIC, Iberfier, OJD",lamira,lamira.cat,08010,Barcelonès,Barcelona,Cataluña
68,"AMIC, Iberfier, OJD",enderrock,enderrock.cat,08021,Barcelonès,Barcelona,Cataluña
70,"AMIC, Iberfier, OJD",socpetit,socpetit.cat,43712,Baix Penedès,Tarragona,Cataluña
71,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,08029,Barcelonès,Barcelona,Cataluña
71,"AMIC, Iberfier, OJD",diaritreball,diaritreball.cat,08023,Barcelonès,Barcelona,Cataluña
73,"AMIC, Iberfier, OJD",timeout,timeout.cat,08003,Barcelonès,Barcelona,Cataluña
74,"AMIC, Iberfier, OJD",diarisanitat,diarisanitat.cat,08010,Barcelonès,Barcelona,Cataluña
75,"AMIC, Iberfier, OJD",racocatala,racocatala.cat,08010,Barcelonès,Barcelona,Cataluña
76,"AMIC, Iberfier, OJD",panxing,panxing.net,08339,Maresme,Barcelona,Cataluña
77,"AMIC, Iberfier, OJD",loclar,loclar.es,46870,La Vall d'Albaida,Valencia/València,Comunidad Valenciana
78,"AMIC, Iberfier, OJD",dbalears,dbalears.cat,07001,La Safor,Illes Balears,Illes Balears
82,"AMIC, Iberfier, OJD",noudiari,noudiari.es,07800,"codigo postal
07800                                         NaN
07800                             Vallès Oriental
07800    El Llano de Mallorca/ es Pla de Mallorca
Name: comarca2, dtype: object","codigo postal
07800    Illes Balears
07800    Illes Balears
07800    Illes Balears
Name: provincia, dtype: object","codigo postal
07800    Illes Balears
07800    Illes Balears
07800    Illes Balears
Name: comunidad autonoma, dtype: object"
83,"AMIC, Iberfier, OJD",saveu,saveu.cat,07100,,Illes Balears,Illes Balears
85,"AMIC, Iberfier, OJD",aramultimedia,aramultimedia.com,03801,L'Alcoià,Alicante/Alacant,Comunidad Valenciana
86,"AMIC, Iberfier, OJD",castelloextra,castelloextra.com,46017,València,Valencia/València,Comunidad Valenciana
87,"AMIC, Iberfier, OJD",valenciaextra,valenciaextra.com,46017,València,Valencia/València,Comunidad Valenciana
88,"AMIC, OJD",fibwidiario,fibwidiario.com,,,,
89,"AMIC, OJD",laconca51,laconca51.cat,,,,
90,"AMIC, OJD",festacatalunya,festacatalunya.cat,,,,
91,"AMIC, OJD",apuntmenorca,apuntmenorca.com,,,,
92,"AMIC, OJD",tornaveu,tornaveu.cat,,,,
93,"AMIC, OJD",exterior,exterior.cat,,,,
94,"AMIC, OJD",cultura21,cultura21.cat,,,,
95,"AMIC, OJD",elmoncasteller,elmoncasteller.cat,,,,
96,"AMIC, OJD",escaparatedigital,escaparatedigital.com,,,,
97,"AMIC, OJD",indicadordeeconomia,indicadordeeconomia.com,,,,
98,"AMIC, OJD",lesvegueries,lesvegueries.cat,,,,
99,"AMIC, OJD",cronica,cronica.es,,,,
100,"AMIC, OJD",bellaterradiari,bellaterradiari.cat,,,,
101,"AMIC, OJD",canal21ebre,canal21ebre.com,,,,
102,"AMIC, OJD",diarideterrassa,diarideterrassa.com,,,,
103,"AMIC, OJD",lafurapenedes,lafurapenedes.cat,,,,
104,"AMIC, OJD",molletama,molletama.cat,,,,
105,"AMIC, OJD",monterrassa,monterrassa.cat,,,,
107,"AMIC, OJD",pallarsdigital,pallarsdigital.cat,,,,
