ID,Origin,media,url,zipcode_iber,zipcode_cac
2786,"AMIC, Iberfier",totlleida,totlleida.cat,25003,
2787,"AMIC, Iberfier",uncopdull,uncopdull.com,43500,
2788,"AMIC, Iberfier",diaridesantacoloma,diaridesantacoloma.com,08912,
2789,"AMIC, Iberfier",diaridesantadria,diaridesantadria.com,08912,
2790,"AMIC, Iberfier",aolesa,aolesa.com,08783,
2791,"AMIC, Iberfier",amasquefa,amasquefa.com,08783,
2792,"AMIC, Iberfier",lescroniques,lescroniques.com,08224,
2793,"AMIC, Iberfier",loest,loest.cat,25300,
2794,"AMIC, Iberfier",alcaldes,alcaldes.eu,08007,
2795,"AMIC, Iberfier",defrancdigital,defrancdigital.com,07181,
2796,"AMIC, Iberfier",teatral,teatral.net,08001,
2797,"AMIC, Iberfier",elllobregat,elllobregat.com,08830,
2798,"AMIC, Iberfier",lavoz,lavoz.cat,08860,
2799,"AMIC, Iberfier",elfar,elfar.cat,08940,
2800,"AMIC, Iberfier",arabalears,arabalears.cat,07001,
2801,"AMIC, Iberfier",capvermell,capvermell.org,07580,
2802,"AMIC, Iberfier",manacormanacor,manacormanacor.com,07500,
2803,"AMIC, Iberfier",viufelanitx,viufelanitx.com,07200,
2804,"AMIC, Iberfier",lamarinaplaza,lamarinaplaza.com,03700,
2805,AMIC,eldiari,eldiari.online,,
2806,AMIC,campingscat,campingscat.com,,
2807,AMIC,Catalunyareligio,Catalunyareligio.cat  ,,
2808,AMIC,sapsque,sapsque.com,,
2809,AMIC,laveudalginet,laveudalginet.es,,
2810,AMIC,escenacultural,escenacultural.net,,
2811,AMIC,diaridebenicassim,diaridebenicassim.com,,
2812,AMIC,areavisual,areavisual.cat,,
2813,AMIC,gentedelasafor,gentedelasafor.es,,
2814,AMIC,media,media.cat,,
2815,AMIC,Núvol,Núvol.com,,
2816,AMIC,frontissa,frontissa.cat,,
2817,AMIC,culturalia,culturalia.club,,
2818,AMIC,festescatalunya,festescatalunya.com,,
2819,AMIC,culturaipaisatge,culturaipaisatge.cat ,,
2820,AMIC,tempsarts,tempsarts.cat,,
2821,AMIC,verlanga,verlanga.com,,
2822,AMIC,elculturista,elculturista.cat,,
2823,AMIC,diaridelallengua,diaridelallengua.cat,,
2824,AMIC,aboriginemag,aboriginemag.com,,
2825,AMIC,inediteducacion,inediteducacion.com ( ineditweb.es),,
2826,AMIC,vadevi,vadevi.cat,,
2827,AMIC,valledeelda,valledeelda.com,,
2828,AMIC,carrerlliure,carrerlliure.cat,,
2829,AMIC,canalte24,canalte24.cat ,,
2830,AMIC,esportsradio,esportsradio.cat,,
2831,AMIC,larepublicaesportiva,larepublicaesportiva.cat ,,
2832,AMIC,mon,mon,,
2833,AMIC,esportbalear,esportbalear.es,,
2834,AMIC,esportandreuenc,esportandreuenc.cat,,
2835,AMIC,lapositiva,lapositiva.cat,,
2836,AMIC,elgourmetcatala,elgourmetcatala.cat,,
2837,AMIC,foodiesonmenorca,foodiesonmenorca.com,,
2838,AMIC,vadegust,vadegust.cat,,
2839,AMIC,balearsvadegust,balearsvadegust.cat,,
2840,AMIC,hibridosyelectricos,hibridosyelectricos.com(publico.es),,
2841,AMIC,metadata,metadata.cat,,
2842,AMIC,blanquinegres,blanquinegres.com,,
2843,AMIC,Junior-report,Junior-report.cat,,
2844,AMIC,saplaca,saplaca.cat,,
2845,AMIC,totpla,totpla.cat,,
2846,AMIC,la-clau,la-clau.net,,
2847,AMIC,onadigital,onadigital.cat,,
2848,AMIC,sermaestrat,sermaestrat.com,,
2849,AMIC,somgandia,somgandia.com ,,
2850,AMIC,somsafor,somsafor.com,,
2851,AMIC,radiojove,radiojove.cat,,
2852,AMIC,baixcampradio,baixcampradio.com,,
2853,AMIC,empordà,empordà.info,,
2854,AMIC,líniaciutatvella,líniaciutatvella.cat,,
2855,AMIC,liniacornella,liniacornella.cat,,
2856,AMIC,líniaeixample,líniaeixample.cat,,
2857,AMIC,líniagracia,líniagracia.cat,,
2858,AMIC,líniahorta,líniahorta.cat,,
2859,AMIC,liniahospitalet,liniahospitalet.cat,,
2860,AMIC,línialescorts,línialescorts.cat,,
2861,AMIC,liniamar,liniamar.cat,,
2862,AMIC,línianord,línianord.cat,,
2863,AMIC,línianoubarris,línianoubarris.cat,,
2864,AMIC,liniarambla,liniarambla.cat,,
2865,AMIC,líniasantandreu,líniasantandreu.cat,,
2866,AMIC,líniasantmarti,líniasantmarti.cat,,
2867,AMIC,líniasants,líniasants.cat,,
2868,AMIC,líniasarria,líniasarria.cat,,
2869,AMIC,liniatres,liniatres.cat,,
2870,AMIC,líniavalles,líniavalles.cat,,
2871,AMIC,sommontmeló,sommontmeló.cat,,
2872,AMIC,Territoris,Territoris.cat,,
2873,AMIC,Viumolinsderei,Viumolinsderei.com,,
2874,AMIC,Viurealspirineus,Viurealspirineus.cat,,
2875,AMIC,andreuenc,andreuenc.cat,,
2876,AMIC,apropebre,apropebre.cat,,
2877,AMIC,calderi,calderi.cat,,
2878,AMIC,canalbaixpenedes,canalbaixpenedes.cat,,
2879,AMIC,castelldefels,castelldefels.digital,,
2880,AMIC,districte7,districte7.cat,,
2881,AMIC,ebreactiu,ebreactiu.cat,,
