media,area_of_influence,ojd,url,CCAA,PROV,AREA,platform,PGD,distribution,Origin,active_iber,address_iber,zipcode_iber,lat_iber,lng_iber,platform_iber,province_iber,CCAA_iber,type_media_cac,address_cac,lat_cac,lng_cac,zipcode_cac,classification_ojd,sub_classification_ojd,unique_visitors_ojd
diaridegirona,Demarcació Girona,OJD,diaridegirona.cat,CAT,G,,digital,,,"AMIC, Iberfier, OJD",True,"General Mendoza, 2, Girona",17002,41.9794005,2.8214264,"app, print, web",Girona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,57672.0
diaridesabadell,Sabadell,OJD,diaridesabadell.com,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Carrer de Sant Quirze, 37, 08201 Sabadell, Barcelona",8201,41.5463356,2.1064062,"web, print",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,14464.0
ebredigital,Terres de l'Ebre,OJD,ebredigital.cat,CAT,T,te,digital,,,"AMIC, Iberfier, OJD",True,Bisbe Serra 6 - Baixos  43003  - Tarragona,43003,41.1188827,1.2444909,"web, tv",Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,5871.0
eixdiari,"Garraf, Penedès",OJD,eixdiari.cat,CAT,B,,digital,,,"AMIC, Iberfier, OJD",True,"Joan Fuster 16, de Vilanova i la Geltrú. - 08800 Vilanova i la Geltrú, Barcelona",8800,41.2223733,1.7095061,"web, app",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,3174.0
elcargol,"Penedès, Garraf, Anoia",OJD,elcargol.com,CAT,B,,digital,,,"AMIC, Iberfier, OJD",True,"del General Cortijo, 21, 08720 Vilafranca del Penedès, Barcelona",8720,41.3425798,1.7002438,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,1205.0
elcugatenc,Sant Cugat del Vallès,OJD,elcugatenc.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"C/ Sant Esteve, 8-12, Sant Cugat del Vallès, 08171",8173,41.4746934,2.083137,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,224.0
expresdesantandreu,"Barcelonès, Barri Sant Andreu",OJD,expresdesantandreu.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Passeig de Torras i Bages, 59 - 61, 7º 2ª, 08030 BARCELONA",8030,41.4392567,2.1908342,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,258.0
infoanoia,anoia,OJD,infoanoia.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,"Verge del Cap, 23, 2on 1a - Vilanova del Camí, Barcelona - 08788",8788,41.5731453,1.6449716,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,585.0
infocamp,"Tarragonès,camp de Tarragona",OJD,infocamp.cat,CAT,T,ct,digital,,,"AMIC, Iberfier, OJD",True,"Rambla Nova 119, 2on 1a, Esc.A - 43001 Tarragona",43001,41.1184963,1.2472801,web,Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,249.0
labustia,Baix Llobregat nord,OJD,labustia.cat,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Avenida Comte de Llobregat, 4. Planta 2a, despatx 2. - 08760 Martorell",8760,41.4826008,1.9198543,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,342.0
laguiadereus,Reus,OJD,laguiadereus.com,CAT,T,ct,digital,,,"AMIC, Iberfier, OJD",True," Illes Medes, 6-10 - Reus, Tarragona 43206",43206,41.1673663,1.1264389,"print, web",Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,83.0
lamanyana,"lleida, Demarcació de Lleida",OJD,lamanyana.cat,CAT,L,,digital,,,"AMIC, Iberfier, OJD",True,"Polígon Industrial El Segre, Parcel·la 118 – 25191 Lleida",25191,41.6298666,0.6653474,web,Lleida,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,2485.0
lapremsadelbaix,BaixLlobregat,OJD,lapremsadelbaix.es,CAT,B,amb,digital,,,"AMIC, Iberfier, OJD",True,"Tomás Bretón, 31 - Esplugues de Llobregat, Barcelona - 08950",8950,41.3756435,2.0793226,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,1287.0
marfanta,Terres de l'Ebre,OJD,marfanta.com,CAT,T,te,digital,,,"AMIC, Iberfier, OJD",True,,43500,40.8561682,0.5825359,web,Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,1271.0
mesebre,Terres de l'Ebre,OJD,mesebre.cat,CAT,T,te,digital,,,"AMIC, Iberfier, OJD",True,"Cervantes, 13, 43500, Tortosa (TARRAGONA)",43500,40.809736,0.5224594,"app, print, web",Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,85.0
mesosona,Osona,OJD,mesosona.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,"c. Ramon Soler, 4. Habitat Catalunya, Edifici Barcelona. Baixos. 08500 VIC",8500,41.9284126,2.2498363,"print, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,67.0
mollerussa,Mollerussa,OJD,mollerussa.tv,CAT,L,,digital,,,"AMIC, Iberfier, OJD",True,"Av. De la Generaliat, 11. Planta 1, Porta 1. Mollerussa 25230 Lleida",25230,41.6313342,0.8966807,"tv, web",Lleida,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,191.0
noticiestgn,Tarragonès,OJD,noticiestgn.cat,CAT,T,ct,digital,,,"AMIC, Iberfier, OJD",True,"Joan Maragall, 1 - Tarragona - 43003",43003,41.1158252,1.2556797,"web, print",Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,25.0
onabages,Bages,OJD,onabages.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,"Travessia Teatre, 4, 08650 Sallent, Barcelona",8650,41.8249186,1.895189,"radio, web",Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,65.0
onabages,Bages,OJD,onabages.cat,CAT,B,cc,digital,,,"AMIC, Iberfier, OJD",True,,,41.8310862,2.0959429,web,Barcelona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,65.0
reusdigital,Baix Camp,OJD,reusdigital.cat,CAT,T,ct,digital,,,"AMIC, Iberfier, OJD",True,"Raval de Santa Anna, 2, Reus",43201,41.1561561,1.107295,"app, web",Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,3990.0
revistacambrils,"Tarragonès, Cambrils, Vandellòs i Hospitalet de l’Infant",OJD,revistacambrils.cat,CAT,T,,digital,,,"AMIC, Iberfier, OJD",True,"C. de Sant Plàcid, 7, baixos. 43850 Cambrils",43850,41.0738155,1.0528809,web,Tarragona,CAT,,,,,,Notícies i Informació,Notícies globals i actualitat,2218.0
