ID,Origin,media,url,zipcode_iber,zipcode_cac
245,"Iberfier, CAC",ràdio cornellà,radiocornella.cat,08940,08940
246,"Iberfier, CAC",ràdio cubelles,radiocubelles.cat,08880,08880
247,"Iberfier, CAC",ràdio cunit,radiocunit.cat,43881,43881
248,"Iberfier, CAC",ràdio desvern,radiodesvern.com,08960,08960
249,"Iberfier, CAC",ràdio dos 84,radiodos84.com,17450,17450
250,"Iberfier, CAC",ràdio estel,radioestel.com,08014,08014
251,"Iberfier, CAC",ràdio falset,radiofalset.cat,43730,43730
252,"Iberfier, CAC",ràdio flaixbac,radioflaixbac.cat,08007,"08007,08391"
254,"Iberfier, CAC",ràdio flix,radioflix.cat,,43750
255,"Iberfier, CAC",ràdio gavà,radiogava.cat,08850,08840
256,"Iberfier, CAC",ràdio gelida,radiogelida.cat,08790,08790
257,"Iberfier, CAC",ràdio granollers,emisora.org.es,08401,08400
258,"Iberfier, CAC",ràdio igualada,radioigualada.cat,08700,08700
259,"Iberfier, CAC",ràdio la vall,radiolavall.cat,17178,17178
260,"Iberfier, CAC",ràdio les borges,radiolesborges.cat,25400,25400
261,"Iberfier, CAC",ràdio l'escala,radiolescala.cat,17130,17130
262,"Iberfier, CAC",ràdio les planes,radiolesplanes.com,17172,17172
263,"Iberfier, CAC",ràdio llavaneres,radiollavaneres.cat,08392,08392
264,"Iberfier, CAC",ràdio manlleu,radiomanlleu.cat,08560,08560
265,"Iberfier, CAC",ràdio maricel,radiomaricel.cat,08870,08870
266,"Iberfier, CAC",ràdio marina,radiomarina.com,17003,17300
267,"Iberfier, CAC",ràdio masquefa,miratv.cat,,08783
268,"Iberfier, CAC",ràdio molins de rei,radiomolinsderei.cat,08750,08750
269,"Iberfier, CAC",ràdio montblanc,radiomontblanc.cat,43400,43400
270,"Iberfier, CAC",ràdio montgrí,radiomontgri.com,17257,17257
271,"Iberfier, CAC",ràdio montornès,radio.montornes.cat,08170,08170
272,"Iberfier, CAC",ràdio ona,radioona.com,08570,08570
273,"Iberfier, CAC",ràdio palafolls,radiopalafolls.cat,08389,08389
274,"Iberfier, CAC",ràdio palafrugell,radiopalafrugell.cat,17200,17200
275,"Iberfier, CAC",ràdio palamós,palamoscomunicacio.cat,17230,17230
276,"Iberfier, CAC",ràdio pineda,radiopineda.com,08397,08397
277,"Iberfier, CAC",ràdio pista,radiopista.cat,08550,08550
278,"Iberfier, CAC",ràdio premià de mar,radiopremiademar.org,08330,08330
279,"Iberfier, CAC",ràdio puig-reig,radiopuig-reig.net,08692,08692
280,"Iberfier, CAC",ràdio ràpita,enacast.com,43540,43540
281,"Iberfier, CAC",ràdio rosselló,radiorossello.radiostream321.com,25124,25124
282,"Iberfier, CAC",ràdio rubí,radiorubi.fm,,08191
